name,addr_pin,addr_longi,addr_lati
Town Center_3b2b,"2413 N Neil St, Champaign, IL 61820",40.14482,-88.25126
Nantucket Cove_4b3b,"2001 N Moreland Blvd, Champaign, IL 61822",40.14025,-88.25171
The Legends Apartments_3b2b,"3206 Palmer Dr, Champaign, IL 61822",40.07485,-88.31755
Westgate Apartments_2b1b,"1600 W Bradley Ave, Champaign, IL 61821",40.12864,-88.27297
Baytowne Apartments_2b2.5b,"1000 Baytowne Dr, Champaign, IL 61822",40.14082,-88.26269
Hunters Pond Apartment Homes_2b2b,"2717 Hunters Pond Run, Champaign, IL 61820",40.14828,-88.24468
Ginger Creek_2b2b,"401-410 Ginger Bend Dr, Champaign, IL 61822",40.11249,-88.29169
Stonegate Village_2b1.5b,"2403-2503 W Springfield Ave, Champaign, IL 61821",40.11261,-88.28774
Stadium View Apartments_5b2b,"1009 S First St, Champaign, IL 61820",40.10575,-88.23907
Tuscany Ridge Townhome_3b3b,"918-1188 Pomona Dr, Champaign, IL 61822",40.12538,-88.29394
Castle on Locust- INDIVIDUAL LEASES AVAILABLE_4b2b,"1007 Locust St, Champaign, IL 61820",40.10575,-88.2399
Maywood Apartments_4b2b,"51 E John St, Champaign, IL 61820",40.10863,-88.23987
Midtown Lofts_4b3b,"512 S Third St, Champaign, IL 61820",40.11221,-88.23508
Midtown Plaza - BRAND NEW_2b2b,"310 S 1st St, Champaign, IL 61820",40.11415,-88.23866
South West Apartments - ONE MONTH FREE RENT_2b1b,"1902 Karen Ct, Champaign, IL 61822",40.08343,-88.27926
Windcrest Apartments_2b1b,"404 Edgebrook Dr, Champaign, IL 61820",40.13199,-88.24905
212 East_4b2b,"512 E Green St, Champaign, IL 61820",40.11056,-88.23563
Fields South_2b1b,"3301 Fields South Dr, Champaign, IL 61822",40.07203,-88.30995
WatersEdge Apartments_3b2b,"936 Waterview Way, Champaign, IL 61822",40.1507,-88.25898
Furnished Studio – Champaign - Urbana_1b1b,"610 W Marketview Dr, Champaign, IL 61820",40.13797,-88.25353
Colonial Village_3b1.5b,"1003-1011 S Mattis Ave, Champaign, IL 61821",40.1053,-88.2771
Westwood Village_1b1b,"3119-3303 W Kirby Ave, Champaign, IL 61822",40.09826,-88.29782
Continental Plaza_3b1.5b,"801-911 S Mattis Ave, Champaign, IL 61821",40.10732,-88.27739
Prestwick Point_2b2b,"706 Inverness Rd, Champaign, IL 61822",40.10699,-88.31255
205 E Healey St_1b1b,"205 E Healey St, Champaign, IL 61820",40.11113,-88.23631
706 S Locust St_2b1b,"706 S Locust St, Champaign, IL 61820",40.10961,-88.23983
Crowwood Point Apartments_2b2b,"3901 Crowwood Dr, Champaign, IL 61822",40.10788,-88.31065
Next Chapter -507 Second_4b4b,"507 S 2nd St, Champaign, IL 61820",40.11181,-88.2374
Next Chapter -75 Armory_4b2b,"75 E Armory Ave, Champaign, IL 61820",40.10503,-88.23894
Next Chapter -305 Daniel_4b3b,"305 E Daniel St, Champaign, IL 61820",40.10769,-88.23468
Next Chapter -217 South_2b2b,"217 S Neil St, Champaign, IL 61820",40.11455,-88.24384
Gentry Square Apartments_2b2.5b,"1712 Gentry Square Ln, Champaign, IL 61821",40.09165,-88.27564
Regency West_3b1b,"3 Hanover Ct, Champaign, IL 61821",40.14646,-88.27104
The Courtyard on Randolph_3b1b,"713-717 S Randolph St, Champaign, IL 61820",40.10772,-88.24533
Parkland Point_4b4b,"2002 W Bradley Ave, Champaign, IL 61821",40.12831,-88.28137
Gramercy Park Apartments_2b1b,"2106 W White St, Champaign, IL 61821",40.11435,-88.28538
Colony West_3b1.5b,"31 Colony West Dr, Champaign, IL 61820",40.08645,-88.25612
Colony Court_3b1b,"502 S Mattis Ave, Champaign, IL 61821",40.1117,-88.2757
Flats on White_4b2b,"202 E White St, Champaign, IL 61820",40.11468,-88.23641
905 Lofts_2b1b,"905 S Locust St, Champaign, IL 61820",40.10729,-88.24056
Victoria Point_3b2b,"2302 W John St, Champaign, IL 61821",40.10968,-88.28502
Smith Apartments @ 1004 South Locust_2b1b,"1004 S Locust St, Champaign, IL 61820",40.10603,-88.23993
Windsor West Apartments_3b3b,"2502 Fields South Dr, Champaign, IL 61822",40.08359,-88.30737
Skyline Tower_3b3b,"519 E Green St, Champaign, IL 61820",40.10984,-88.23076
1008 S. Fourth_4b4b,"1008 S 4th St, Champaign, IL 61820",40.10615,-88.23296
Hessel on the Park_2b1.5b,"1601-1862 Valley Rd, Champaign, IL 61820",40.09596,-88.24991
512 Green_4b3b,"512 E Green St, Champaign, IL 61820",40.11055,-88.23145
Latitude Apartments_4b4b,"608 E University Ave, Champaign, IL 61820",40.11665,-88.22959
112 Green_4b2b,"112 E Green St, Champaign, IL 61820",40.11043,-88.23754
907 Third_4b2b,"907 S 3rd St, Champaign, IL 61820",40.10733,-88.23567
205 E University Ave_4b2b,"205 E University Ave, Champaign, IL 61820",40.11606,-88.23565
