name,apt_rating,apt_contact,apt_image,cond_bed,cond_bath,cond_rent,cond_amen,name,addr_pin,addr_longi,addr_lati
Town Center_3b2b,4,(844) 803-0730,https://image4.apartmentfinder.com/i2/LyfBQX70sEigGH-mJwnlAmGJWIeBxwH2pPOsJQx8irQ/118/town-center-champaign-il-pool.jpg,3,2,879,"Air Conditioner, Carpeting, Dishwasher, Refrigerator, W/D Hookup, Washer and Dryer Connections, Brand New Apartments! Available Now!, Self-Service Laundry, Business Center, Clubhouse, Fitness Center, Swimming Pool, Playground, High Speed Internet, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Storage Units, Bathtub/Shower, Sprinkler System, Dishwasher, Garbage Disposal, Pantry, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Dining Area, Family Room, Linen Closet, Balcony, Patio",Town Center_3b2b,"2413 N Neil St, Champaign, IL 61820",40.14482,-88.25126
Nantucket Cove_4b3b,4,(844) 265-2223,https://image1.apartmentfinder.com/i2/Kfw2i8SzMX81VG8NGNZM1ZsIgKkGs43kMfx2Q9-XNPw/118/nantucket-cove-champaign-il-nantucket-cove-apartment-homes.jpg,4,3,1189,"24/7 Video Surveillance of Clubhouse, Automatic Fire Suppression Systems, Community Stainless Steel Grills, Free Computer Access in Wifi Cafe, Full Sized Garages Available, Indoor Basketball Court, Monthly Resident Events, Pet Stations for Convenience, Pool View Units Available for Summer, Resort Style Landscaping, Resort Style Swimming Pool, Sand Volleyball Court, Trash Compactors on Site, Yogo/Fitness Studio, Package Service, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Courtesy Patrol, Video Patrol, Available 24/7, Curbside Trash Pickup, Recycling Program, Online Services, Social Events, Pet Park, Car Care Center, Business Center, Clubhouse, Lounge, Flex Space, Complimentary Breakfast, Café, Meeting Center, Gated, Yard with Fence, Cabana, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Swimming Pool, Basketball Court, Tennis Court, Volleyball Court, Athletic Court, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Walk-In Closets, Balcony",Nantucket Cove_4b3b,"2001 N Moreland Blvd, Champaign, IL 61822",40.14025,-88.25171
The Legends Apartments_3b2b,5,(844) 822-1226,https://image1.apartmentfinder.com/i2/HwQVF04D3Ozo25BnyhTwfBMJfR0Jf9V_RDP1e2_EPls/118/the-legends-apartments-champaign-il-primary-photo.jpg,3,2,1250,"9 Foot Ceilings, Beautifully Appointed Clubhouse, Bike Maintenance Room, Bocce Ball Court and Viewing Area, Conference Room with Wifi, Dog Washing Station, Dual Flush Toilets, Fitness Center with Fitness-On-Demand, Free Golf at The Legends Golf Course, Free internet, Game Room, Pool Tables, Gathering/Party Rooms, Gift Wrapping Room, Golf free for one year, Granite countertops, Hammock Oasis, Indoor Golf Simulator and Lounge, Keyless Lock System, Leash-Free Dog Park with Walking Path, Outdoor Living Room, Oversized Fire Pits and Gazebo, Pond with Pier/Dock, Resort-Style Swimming Pool, Responsive, On-Site Management, Stainless Steel Appliances, Sun Deck with Luxury Cabanas, Walk In Closet, Walking/Jogging Path, Yoga/Spin Room, Front Door Trash Pickup, Clubhouse, High Speed Internet, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Storage Units, Fireplace, Wheelchair Accessible, Dishwasher, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Ceramic Tile Flooring, Room with Views, Walk-In Closets, Balcony, Patio, Lawn",The Legends Apartments_3b2b,"3206 Palmer Dr, Champaign, IL 61822",40.07485,-88.31755
Westgate Apartments_2b1b,4,(217) 305-7752,https://image4.apartmentfinder.com/i2/kSxX8iWiUcYDV8ACG9wdBqx12fwrn9WyKPIvI3wLZnM/118/westgate-apartments-champaign-il-pool.jpg,2,1,730,"All apartments cable ready, Ceiling Fans, Communitywide online postings, Free, Off-Street Parking, Frost-Free Refrigerators, Full-Size Dishwashers, Largest 2BR Apartments Have Central Air and Heat, Many Upgraded Vanities, Many Wood Floor Kitchens, Online work order request, Picnic and BBQ Grilling Areas, Refrigerators, Short Term Leases Available, Small Pets Welcome, Upgraded Cabinets, Self-Service Laundry, On-Site Maintenance, Gated, Fitness Center, Swimming Pool, High Speed Internet, Stove, Carpeting",Westgate Apartments_2b1b,"1600 W Bradley Ave, Champaign, IL 61821",40.12864,-88.27297
Baytowne Apartments_2b2.5b,5,(844) 834-6687,https://image2.apartmentfinder.com/i2/kjSKbBuD7Wu1XHKilTbpA4hjcJrEiyUTUYVbJfrlW5w/118/baytowne-apartments-champaign-il-lake-and-beach.jpg,2,2.5,1775,"Balcony with Lockable Storage Area, Bike Racks, Communitywide online postings, Credit card online payments, Dishwasher in every unit, Fireplace Available, Free Refuse Removal, Friendly, On-Site Staff, Frost-Free Refrigerator W/Icemaker, Full Maintenance and Grounds Staff, Gardens, Huge Walk-In Closets, Laundry Hookups In Each Apartment, Monthly Preventative Pest Control, One time online payments, Online work order request, Picnic and BBQ grilling areas, Private Bar and Grille, Reoccuring online payments, On-Site Maintenance, On-Site Property Manager, Clubhouse, Gated, Sundeck, BBQ Grill, Picnic Area, Fitness Center, Spa, Swimming Pool, Racquetball Court, Tennis Court, Volleyball Court, High Speed Internet, Washer/Dryer Hookup, Fireplace, Dishwasher, Ice Machine, Refrigerator, Walk-In Closets, Balcony",Baytowne Apartments_2b2.5b,"1000 Baytowne Dr, Champaign, IL 61822",40.14082,-88.26269
Hunters Pond Apartment Homes_2b2b,4,(877) 653-5870,https://image2.apartmentfinder.com/i2/1u_-q14NpLskXjWi1cG0Rj5v4DDSqi6qxAvcVHyPic0/118/hunters-pond-apartment-homes-champaign-il-building.jpg,2,2,915,"All Two Bedrooms Have Two Baths, Blinds included, Cable tv available, Central Air Conditioning, Dish Network Also Available, Dishwasher, Enclosed Private Storage Off The Balcony Or Patio, Expertly-Landscaped Grounds, Full-Size Washer and Dryer in Every Apartment, Garbage Disposal, Gas Range, Oversized living rm w/additional windows, Refrigerator, Second bath with shower, Third-floor cathedral ceiling, Third-Floor Cathedral Ceilng, Walk-in Closets with Wardrobe Organizers, Pool/Clubhouse Wi-Fi, On-Site Maintenance, Available 24/7, Recycling Program, Sundeck, Fitness Center, Cardio Machines, Weightlifting Equipment, High Speed Internet, Washer/Dryer, A/C, Wired for Cable, Satellite TV, Storage Units, Bathtub/Shower, Wheelchair Accessible, Dishwasher, Garbage Disposal, Dine-In Kitchen, Kitchen, Microwave, Stove, Refrigerator, Carpeting, Vinyl Flooring, Dining Area, Vaulted Ceiling, Walk-In Closets, Window Coverings, Balcony, Patio",Hunters Pond Apartment Homes_2b2b,"2717 Hunters Pond Run, Champaign, IL 61820",40.14828,-88.24468
Ginger Creek_2b2b,4,(844) 308-6230,https://image2.apartmentfinder.com/i2/Sd9ziqQM_i7XSRwNCftA4dq91MgPmY4Ky-X96oBF8Ok/118/ginger-creek-champaign-il-primary-photo.jpg,2,2,1125,"Self-Service Laundry, Recycling Program, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Fireplace, Dishwasher, Garbage Disposal, Oven, Stove, Refrigerator, Skylight, Walk-In Closets, Accent Walls, Balcony",Ginger Creek_2b2b,"401-410 Ginger Bend Dr, Champaign, IL 61822",40.11249,-88.29169
Stonegate Village_2b1.5b,5,(844) 308-8354,https://image3.apartmentfinder.com/i2/kF47QreD0L9913L6gbB5RAaI1BxaVk0tACXY_JQIwlU/118/stonegate-village-champaign-il-pool.jpg,2,1.5,890,"Some furnished units available, Self-Service Laundry, Security System, Recycling Program, Gated, Swimming Pool, High Speed Internet, A/C, Heating, Ceiling Fans, Fireplace, Dishwasher, Garbage Disposal, Microwave, Stove, Balcony, Patio",Stonegate Village_2b1.5b,"2403-2503 W Springfield Ave, Champaign, IL 61821",40.11261,-88.28774
Stadium View Apartments_5b2b,4,(217) 305-4427,https://image2.apartmentfinder.com/i2/kkpUtjbEAeCOzavPgrgdswLjFHpqWx3ViB_g-8s3-5E/118/stadium-view-apartments-champaign-il-primary-photo.jpg,5,2,425,"Self-Service Laundry, A/C, Heating, Wheelchair Accessible, Dishwasher, Kitchen, Microwave, Balcony",Stadium View Apartments_5b2b,"1009 S First St, Champaign, IL 61820",40.10575,-88.23907
Tuscany Ridge Townhome_3b3b,2,(217) 305-7684,https://image1.apartmentfinder.com/i2/fhahYK4ER3ELXX1i1caYPeeSPbZVVUnKD-7UBjG2M_A/118/tuscany-ridge-townhome-champaign-il-2-bedroom---kitchen.jpg,3,3,995,"24 Hour Emergency Maintenance, Finished Basement, Freeway Access (Near I-74), hardwood floors, Near Kraft Foods & The Virginia Theatre, Near Market Place Mall Shopping Center, Near Pond, Near University Of Illinois At Urbana-Champaign, Near Walking Trail, On Bus Line, Steps From Parkland College, On-Site Maintenance, On-Site Property Manager, Playground, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Pantry, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring, Carpeting, Family Room, Basement, Room with Views, Linen Closet, Window Coverings, Balcony",Tuscany Ridge Townhome_3b3b,"918-1188 Pomona Dr, Champaign, IL 61822",40.12538,-88.29394
