name,cond_bed,cond_bath,cond_rent,cond_amen,addr_pin,addr_longi,addr_lati,apt_rating,apt_contact,apt_image
,,,,,,,,,,
Town Center_3b2b,3,2,879,"Air Conditioner, Carpeting, Dishwasher, Refrigerator, W/D Hookup, Washer and Dryer Connections, Brand New Apartments! Available Now!, Self-Service Laundry, Business Center, Clubhouse, Fitness Center, Swimming Pool, Playground, High Speed Internet, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Storage Units, Bathtub/Shower, Sprinkler System, Dishwasher, Garbage Disposal, Pantry, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Dining Area, Family Room, Linen Closet, Balcony, Patio","2413 N Neil St, Champaign, IL 61820",40.14482,-88.25126,4,(844) 803-0730,https://image4.apartmentfinder.com/i2/LyfBQX70sEigGH-mJwnlAmGJWIeBxwH2pPOsJQx8irQ/118/town-center-champaign-il-pool.jpg
,,,,,,,,,,
Nantucket Cove_4b3b,4,3,1189,"24/7 Video Surveillance of Clubhouse, Automatic Fire Suppression Systems, Community Stainless Steel Grills, Free Computer Access in Wifi Cafe, Full Sized Garages Available, Indoor Basketball Court, Monthly Resident Events, Pet Stations for Convenience, Pool View Units Available for Summer, Resort Style Landscaping, Resort Style Swimming Pool, Sand Volleyball Court, Trash Compactors on Site, Yogo/Fitness Studio, Package Service, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Courtesy Patrol, Video Patrol, Available 24/7, Curbside Trash Pickup, Recycling Program, Online Services, Social Events, Pet Park, Car Care Center, Business Center, Clubhouse, Lounge, Flex Space, Complimentary Breakfast, Café, Meeting Center, Gated, Yard with Fence, Cabana, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Swimming Pool, Basketball Court, Tennis Court, Volleyball Court, Athletic Court, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Walk-In Closets, Balcony","2001 N Moreland Blvd, Champaign, IL 61822",40.14025,-88.25171,4,(844) 265-2223,https://image1.apartmentfinder.com/i2/Kfw2i8SzMX81VG8NGNZM1ZsIgKkGs43kMfx2Q9-XNPw/118/nantucket-cove-champaign-il-nantucket-cove-apartment-homes.jpg
,,,,,,,,,,
The Legends Apartments_3b2b,3,2,1250,"9 Foot Ceilings, Beautifully Appointed Clubhouse, Bike Maintenance Room, Bocce Ball Court and Viewing Area, Conference Room with Wifi, Dog Washing Station, Dual Flush Toilets, Fitness Center with Fitness-On-Demand, Free Golf at The Legends Golf Course, Free internet, Game Room, Pool Tables, Gathering/Party Rooms, Gift Wrapping Room, Golf free for one year, Granite countertops, Hammock Oasis, Indoor Golf Simulator and Lounge, Keyless Lock System, Leash-Free Dog Park with Walking Path, Outdoor Living Room, Oversized Fire Pits and Gazebo, Pond with Pier/Dock, Resort-Style Swimming Pool, Responsive, On-Site Management, Stainless Steel Appliances, Sun Deck with Luxury Cabanas, Walk In Closet, Walking/Jogging Path, Yoga/Spin Room, Front Door Trash Pickup, Clubhouse, High Speed Internet, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Storage Units, Fireplace, Wheelchair Accessible, Dishwasher, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Ceramic Tile Flooring, Room with Views, Walk-In Closets, Balcony, Patio, Lawn","3206 Palmer Dr, Champaign, IL 61822",40.07485,-88.31755,5,(844) 822-1226,https://image1.apartmentfinder.com/i2/HwQVF04D3Ozo25BnyhTwfBMJfR0Jf9V_RDP1e2_EPls/118/the-legends-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
Westgate Apartments_2b1b,2,1,730,"All apartments cable ready, Ceiling Fans, Communitywide online postings, Free, Off-Street Parking, Frost-Free Refrigerators, Full-Size Dishwashers, Largest 2BR Apartments Have Central Air and Heat, Many Upgraded Vanities, Many Wood Floor Kitchens, Online work order request, Picnic and BBQ Grilling Areas, Refrigerators, Short Term Leases Available, Small Pets Welcome, Upgraded Cabinets, Self-Service Laundry, On-Site Maintenance, Gated, Fitness Center, Swimming Pool, High Speed Internet, Stove, Carpeting","1600 W Bradley Ave, Champaign, IL 61821",40.12864,-88.27297,4,(217) 305-7752,https://image4.apartmentfinder.com/i2/kSxX8iWiUcYDV8ACG9wdBqx12fwrn9WyKPIvI3wLZnM/118/westgate-apartments-champaign-il-pool.jpg
,,,,,,,,,,
Baytowne Apartments_2b2.5b,2,2.5,1775,"Balcony with Lockable Storage Area, Bike Racks, Communitywide online postings, Credit card online payments, Dishwasher in every unit, Fireplace Available, Free Refuse Removal, Friendly, On-Site Staff, Frost-Free Refrigerator W/Icemaker, Full Maintenance and Grounds Staff, Gardens, Huge Walk-In Closets, Laundry Hookups In Each Apartment, Monthly Preventative Pest Control, One time online payments, Online work order request, Picnic and BBQ grilling areas, Private Bar and Grille, Reoccuring online payments, On-Site Maintenance, On-Site Property Manager, Clubhouse, Gated, Sundeck, BBQ Grill, Picnic Area, Fitness Center, Spa, Swimming Pool, Racquetball Court, Tennis Court, Volleyball Court, High Speed Internet, Washer/Dryer Hookup, Fireplace, Dishwasher, Ice Machine, Refrigerator, Walk-In Closets, Balcony","1000 Baytowne Dr, Champaign, IL 61822",40.14082,-88.26269,5,(844) 834-6687,https://image2.apartmentfinder.com/i2/kjSKbBuD7Wu1XHKilTbpA4hjcJrEiyUTUYVbJfrlW5w/118/baytowne-apartments-champaign-il-lake-and-beach.jpg
