name,apt_rating,apt_contact,apt_image
Town Center_3b2b,4,(844) 803-0730,https://image4.apartmentfinder.com/i2/LyfBQX70sEigGH-mJwnlAmGJWIeBxwH2pPOsJQx8irQ/118/town-center-champaign-il-pool.jpg
Nantucket Cove_4b3b,4,(844) 265-2223,https://image1.apartmentfinder.com/i2/Kfw2i8SzMX81VG8NGNZM1ZsIgKkGs43kMfx2Q9-XNPw/118/nantucket-cove-champaign-il-nantucket-cove-apartment-homes.jpg
The Legends Apartments_3b2b,5,(844) 822-1226,https://image1.apartmentfinder.com/i2/HwQVF04D3Ozo25BnyhTwfBMJfR0Jf9V_RDP1e2_EPls/118/the-legends-apartments-champaign-il-primary-photo.jpg
Westgate Apartments_2b1b,4,(217) 305-7752,https://image4.apartmentfinder.com/i2/kSxX8iWiUcYDV8ACG9wdBqx12fwrn9WyKPIvI3wLZnM/118/westgate-apartments-champaign-il-pool.jpg
Baytowne Apartments_2b2.5b,5,(844) 834-6687,https://image2.apartmentfinder.com/i2/kjSKbBuD7Wu1XHKilTbpA4hjcJrEiyUTUYVbJfrlW5w/118/baytowne-apartments-champaign-il-lake-and-beach.jpg
Hunters Pond Apartment Homes_2b2b,4,(877) 653-5870,https://image2.apartmentfinder.com/i2/1u_-q14NpLskXjWi1cG0Rj5v4DDSqi6qxAvcVHyPic0/118/hunters-pond-apartment-homes-champaign-il-building.jpg
Ginger Creek_2b2b,4,(844) 308-6230,https://image2.apartmentfinder.com/i2/Sd9ziqQM_i7XSRwNCftA4dq91MgPmY4Ky-X96oBF8Ok/118/ginger-creek-champaign-il-primary-photo.jpg
Stonegate Village_2b1.5b,5,(844) 308-8354,https://image3.apartmentfinder.com/i2/kF47QreD0L9913L6gbB5RAaI1BxaVk0tACXY_JQIwlU/118/stonegate-village-champaign-il-pool.jpg
Stadium View Apartments_5b2b,4,(217) 305-4427,https://image2.apartmentfinder.com/i2/kkpUtjbEAeCOzavPgrgdswLjFHpqWx3ViB_g-8s3-5E/118/stadium-view-apartments-champaign-il-primary-photo.jpg
Tuscany Ridge Townhome_3b3b,2,(217) 305-7684,https://image1.apartmentfinder.com/i2/fhahYK4ER3ELXX1i1caYPeeSPbZVVUnKD-7UBjG2M_A/118/tuscany-ridge-townhome-champaign-il-2-bedroom---kitchen.jpg
Castle on Locust- INDIVIDUAL LEASES AVAILABLE_4b2b,5,(844) 565-2453,https://image2.apartmentfinder.com/i2/RoQg0LNiDcJ3odgZ-8XqgIPW4HX4cHLuCkRLg_dlMNI/118/castle-on-locust--individual-leases-available-champaign-il-primary-photo.jpg
Maywood Apartments_4b2b,4,(844) 298-4230,https://image2.apartmentfinder.com/i2/5qprPZNdoVqeb_GoTEtJEz--xI9nqTAtE3WmeNipn4Y/118/maywood-apartments-champaign-il-primary-photo.jpg
Midtown Lofts_4b3b,5,(217) 305-7021,https://image3.apartmentfinder.com/i2/RaEBi5s4imKrEa8jGGWtTACPkF4NYSvPNO6PGib-xEg/118/midtown-lofts-champaign-il-primary-photo.jpg
Midtown Plaza - BRAND NEW_2b2b,5,(217) 305-7669,https://image4.apartmentfinder.com/i2/-QDOcVPK6iqGc6WolkhelrXXQKSWfCoD4rLjumoj44M/118/midtown-plaza---brand-new-champaign-il-primary-photo.jpg
South West Apartments - ONE MONTH FREE RENT_2b1b,4,(217) 318-0978,https://image3.apartmentfinder.com/i2/icP9nlafaxMB6C5EQV3iAD8z3PfTCgyIxGmzswtrIm8/118/south-west-apartments---one-month-free-rent-champaign-il-primary-photo.jpg
Windcrest Apartments_2b1b,3,(844) 241-6752,https://image1.apartmentfinder.com/i2/Qe-eyo7ZVg7QzCSWt_TgZHvpWnz-WAGshliAnN5dD9w/118/windcrest-apartments-champaign-il-primary-photo.jpg
212 East_4b2b,5,(217) 689-4928,https://image4.apartmentfinder.com/i2/ODFUMjjkEfVf9W2m_jEu01tudWxMB7DUISU75jsmYYc/118/212-east-champaign-il-primary-photo.jpg
Fields South_2b1b,5,(217) 305-4527,https://image3.apartmentfinder.com/i2/t3Y3Hbt-FJRTvmbeMolkTciUpVbiPUhma6Cen0tP8v8/118/fields-south-champaign-il-primary-photo.jpg
WatersEdge Apartments_3b2b,5,(217) 305-7769,https://image3.apartmentfinder.com/i2/bRqY_reOO1wKkt9W7NalGvn5hu8_hR-qlbHoeyRTiws/118/watersedge-apartments-champaign-il-primary-photo.jpg
Furnished Studio – Champaign - Urbana_1b1b,3,(217) 318-0942,https://image2.apartmentfinder.com/i2/6pbvt3_z9iJjNylIyB2Psy4KFxQPd_6tCHlyLtouxbA/118/furnished-studio-champaign---urbana-champaign-il-primary-photo.jpg
Colonial Village_3b1.5b,4,(217) 318-0987,https://image2.apartmentfinder.com/i2/JbV3E6_FQ7g-fMulS0BgkN5knonXCZMvufsh8I6N7Eo/118/colonial-village-champaign-il-primary-photo.jpg
Westwood Village_1b1b,4,(217) 305-7110,https://image4.apartmentfinder.com/i2/gEWK92uOVIbvk3N9JmktsE0cVY_SJpvX-ILqthzWItI/118/westwood-village-champaign-il-primary-photo.jpg
Continental Plaza_3b1.5b,4,(217) 305-7097,https://image2.apartmentfinder.com/i2/KiCpeGcuLjbmwBf1tY4_UzYvJQAIBUwQs3zkV4X_RVc/118/continental-plaza-champaign-il-continental-plaza-apartments.jpg
Prestwick Point_2b2b,5,(217) 305-7664,https://image2.apartmentfinder.com/i2/_3tlC9olqU2lk5ba34qrBRAbQ6ZMAPbC4BbcLCI8qaE/118/prestwick-point-champaign-il-builidng.jpg
205 E Healey St_1b1b,4,(855) 850-4079,https://image3.apartmentfinder.com/i2/OTewAVH7T8N_NLAv6dUe4_DWtlzPZ6AfzToVFA09VBo/118/205-e-healey-st-champaign-il-primary-photo.jpg
706 S Locust St_2b1b,4,(844) 898-7871,https://image3.apartmentfinder.com/i2/YUbeFBl8KKSxg38DKdDMhl4RlxCR8miLFTSHkmnn1Nk/118/706-s-locust-st-champaign-il-primary-photo.jpg
Crowwood Point Apartments_2b2b,5,(217) 305-7834,https://image2.apartmentfinder.com/i2/fIxj-oEnvxa1kjeOAAiyZq6xzsmWGxilvwCJRf0DYW0/118/crowwood-point-apartments-champaign-il-primary-photo.jpg
Next Chapter -507 Second_4b4b,5,(844) 528-5726,https://image1.apartmentfinder.com/i2/ySde0E_kwITf0W0-GXBnYCxp_-Es8KqDShIydqonG4g/118/next-chapter--507-second-champaign-il-507-second---terraces-on-second.jpg
Next Chapter -75 Armory_4b2b,4,(217) 305-7830,https://image2.apartmentfinder.com/i2/TC6QQuZ7A3zIeMbaHQbjLAiNF3QoVznoIPVGWVnt4r0/118/next-chapter--75-armory-champaign-il-primary-photo.jpg
Next Chapter -305 Daniel_4b3b,4,(844) 626-4630,https://image2.apartmentfinder.com/i2/cOAdNvqtGkz4cEnfLxrXau1H2m0x1wqKUkvBdCIiPiE/118/next-chapter--305-daniel-champaign-il-building.jpg
Next Chapter -217 South_2b2b,5,(877) 930-2993,https://image1.apartmentfinder.com/i2/izrRAPtTjxHftVX7Af0M9QVuYgajd38EOvzQGqDEhmY/118/next-chapter--217-south-champaign-il-217-south-apartments.jpg
Gentry Square Apartments_2b2.5b,5,(217) 305-7798,https://image3.apartmentfinder.com/i2/cRrQA1dXvj-WZRnic4Hfavfk88s48xZEvOFiGmHfkrA/118/gentry-square-apartments-champaign-il-exterior---pool-and-sundeck.jpg
Regency West_3b1b,4,(844) 443-7164,https://image4.apartmentfinder.com/i2/q_-svQjpDXMHHrfOtqIIIM3TtgiTy7TAOSdxjQ-yHwA/118/regency-west-champaign-il-primary-photo.jpg
The Courtyard on Randolph_3b1b,4,(844) 206-1889,https://image1.apartmentfinder.com/i2/QnBoPP-FblD4Oz1LDBdIHQJ-n-qd5fNyXRTmIzYNLxk/118/the-courtyard-on-randolph-champaign-il-primary-photo.jpg
Parkland Point_4b4b,5,(877) 450-5929,https://image3.apartmentfinder.com/i2/cndCdF9jcW7tukIOlyiN4lVpuRmK5Z7VturZ9yUmWRA/118/parkland-point-champaign-il-leasing-office-clubhouse.jpg
Gramercy Park Apartments_2b1b,4,(844) 835-0803,https://image3.apartmentfinder.com/i2/i74R9nzENQlJtA7QgBs2WKhmVTMbpYZZcCjSpOYgL6U/118/gramercy-park-apartments-champaign-il-2-bedroom-kitchen.jpg
Colony West_3b1.5b,4,(217) 305-7671,https://image2.apartmentfinder.com/i2/-RAaYxQdFNvw587qx687V5ts7Fh1xKtBJ48dpnojAas/118/colony-west-champaign-il-primary-photo.jpg
