"2413 N Neil St, Champaign, IL 61820",Town Center_3b2b
"2001 N Moreland Blvd, Champaign, IL 61822",Nantucket Cove_4b3b
"3206 Palmer Dr, Champaign, IL 61822",The Legends Apartments_3b2b
"1600 W Bradley Ave, Champaign, IL 61821",Westgate Apartments_2b1b
"1000 Baytowne Dr, Champaign, IL 61822",Baytowne Apartments_2b2.5b
"2717 Hunters Pond Run, Champaign, IL 61820",Hunters Pond Apartment Homes_2b2b
"401-410 Ginger Bend Dr, Champaign, IL 61822",Ginger Creek_2b2b
"2403-2503 W Springfield Ave, Champaign, IL 61821",Stonegate Village_2b1.5b
"1009 S First St, Champaign, IL 61820",Stadium View Apartments_5b2b
"918-1188 Pomona Dr, Champaign, IL 61822",Tuscany Ridge Townhome_3b3b
"1007 Locust St, Champaign, IL 61820",Castle on Locust- INDIVIDUAL LEASES AVAILABLE_4b2b
"51 E John St, Champaign, IL 61820",Maywood Apartments_4b2b
"512 S Third St, Champaign, IL 61820",Midtown Lofts_4b3b
"310 S 1st St, Champaign, IL 61820",Midtown Plaza - BRAND NEW_2b2b
"1902 Karen Ct, Champaign, IL 61822",South West Apartments - ONE MONTH FREE RENT_2b1b
"404 Edgebrook Dr, Champaign, IL 61820",Windcrest Apartments_2b1b
"512 E Green St, Champaign, IL 61820",212 East_4b2b
"3301 Fields South Dr, Champaign, IL 61822",Fields South_2b1b
"936 Waterview Way, Champaign, IL 61822",WatersEdge Apartments_3b2b
"610 W Marketview Dr, Champaign, IL 61820",Furnished Studio – Champaign - Urbana_1b1b
"1003-1011 S Mattis Ave, Champaign, IL 61821",Colonial Village_3b1.5b
"3119-3303 W Kirby Ave, Champaign, IL 61822",Westwood Village_1b1b
"801-911 S Mattis Ave, Champaign, IL 61821",Continental Plaza_3b1.5b
"706 Inverness Rd, Champaign, IL 61822",Prestwick Point_2b2b
"205 E Healey St, Champaign, IL 61820",205 E Healey St_1b1b
"706 S Locust St, Champaign, IL 61820",706 S Locust St_2b1b
"3901 Crowwood Dr, Champaign, IL 61822",Crowwood Point Apartments_2b2b
"507 S 2nd St, Champaign, IL 61820",Next Chapter -507 Second_4b4b
"75 E Armory Ave, Champaign, IL 61820",Next Chapter -75 Armory_4b2b
"305 E Daniel St, Champaign, IL 61820",Next Chapter -305 Daniel_4b3b
"217 S Neil St, Champaign, IL 61820",Next Chapter -217 South_2b2b
"1712 Gentry Square Ln, Champaign, IL 61821",Gentry Square Apartments_2b2.5b
"3 Hanover Ct, Champaign, IL 61821",Regency West_3b1b
"713-717 S Randolph St, Champaign, IL 61820",The Courtyard on Randolph_3b1b
"2002 W Bradley Ave, Champaign, IL 61821",Parkland Point_4b4b
"2106 W White St, Champaign, IL 61821",Gramercy Park Apartments_2b1b
"31 Colony West Dr, Champaign, IL 61820",Colony West_3b1.5b
"502 S Mattis Ave, Champaign, IL 61821",Colony Court_3b1b
"202 E White St, Champaign, IL 61820",Flats on White_4b2b
"905 S Locust St, Champaign, IL 61820",905 Lofts_2b1b
"2302 W John St, Champaign, IL 61821",Victoria Point_3b2b
"1004 S Locust St, Champaign, IL 61820",Smith Apartments @ 1004 South Locust_2b1b
"2502 Fields South Dr, Champaign, IL 61822",Windsor West Apartments_3b3b
"519 E Green St, Champaign, IL 61820",Skyline Tower_3b3b
"1008 S 4th St, Champaign, IL 61820",1008 S. Fourth_4b4b
"1601-1862 Valley Rd, Champaign, IL 61820",Hessel on the Park_2b1.5b
"512 E Green St, Champaign, IL 61820",512 Green_4b3b
"608 E University Ave, Champaign, IL 61820",Latitude Apartments_4b4b
"112 E Green St, Champaign, IL 61820",112 Green_4b2b
"907 S 3rd St, Champaign, IL 61820",907 Third_4b2b
"205 E University Ave, Champaign, IL 61820",205 E University Ave_4b2b
"609 S Randolph St, Champaign, IL 61820",609 S. Randolph_4b4b
"2408 High View Ct, Champaign, IL 61821",Tuscany Cove_3b1b
"201 E Armory Ave, Champaign, IL 61820",Smith Apartments @ 201 East Armory_2b1b
"1001-1021 Francis Dr, Champaign, IL 61821",Garden Court Apartments_2b1.5b
"53 E Chalmers St, Champaign, IL 61820",Smith Apartments @ 53 East Chalmers_2b2b
"201 W Green St, Champaign, IL 61820",201 West Green Street - BRAND NEW_2b2b
"2000 N Mattis Ave, Champaign, IL 61821",Mattis North Apartments_3b1b
"101 E Green St, Champaign, IL 61820",101 E Green St_4b1.5b
"2415-2435 W Bradley Ave, Champaign, IL 61821",Twin Oaks Apartments_1b1b
"902 Newcastle Dr, Champaign, IL 61822",Wellington Place Apartments_3b1.5b
"1407 S State St, Champaign, IL 61820","Hessel Park Centre Apts - JSJ, INC_2b1b"
"2407 Hampshire Dr, Champaign, IL 61820",Carisbrooke Apartments_2b1.5b
"1702 Maynard Dr, Champaign, IL 61822",1702 Maynard Dr_3b1.5b
"611 Crescent Dr, Champaign, IL 61821",611 Crescent Dr_1b1b
"210 W Washington St, Champaign, IL 61820",210 W Washington St_4b2b
"308 E Clark St, Champaign, IL 61820",308 E Clark St_4b2b
"1119 Plymouth Dr, Champaign, IL 61821",1119 Plymouth Dr_1b1b
"605 S 4th St, Champaign, IL 61820",605 S 4th St_0b1b
"310 E Chalmers St, Champaign, IL 61820",310 E Chalmers St_2b1b
"107 E Daniel St, Champaign, IL 61820",107 E Daniel St_4b2b
"107 S Wright St, Champaign, IL 61820",107 S Wright St_3b1b
"202 W Columbia Ave, Champaign, IL 61820",202 W Columbia Ave_1b1b
"801 S 4th St, Champaign, IL 61820",801 S 4th St_2b1b
"1012 S 1st St, Champaign, IL 61820",1012 S 1st St_2b1b
"605 S 4th St, Champaign, IL 61820",605 S 4th St_2b1b
"107 S Wright St, Champaign, IL 61820",107 S Wright St_5b2b
"202 W Columbia Ave, Champaign, IL 61820",202 W Columbia Ave_2b1b
"208 W Washington St, Champaign, IL 61820",208 W Washington St_4b2b
"1119 Plymouth Dr, Champaign, IL 61821",1119 Plymouth Dr_2b2b
"1012 S 1st St, Champaign, IL 61820",1012 S 1st St_2b1b
"107 S Wright St, Champaign, IL 61820",107 S Wright St_3b1b
"202 W Columbia Ave, Champaign, IL 61820",202 W Columbia Ave_2b1b
"310 E Chalmers St, Champaign, IL 61820",310 E Chalmers St_2b1b
"107 S Wright St, Champaign, IL 61820",107 S Wright St_0b1b
"202 W Columbia Ave, Champaign, IL 61820",202 W Columbia Ave_1b1b
"107 E Daniel St, Champaign, IL 61820",107 E Daniel St_4b2b
"107 E Daniel St, Champaign, IL 61820",107 E Daniel St_4b2b
"107 E Daniel St, Champaign, IL 61820",107 E Daniel St_4b2b
"506 E White St, Champaign, IL 61820",506 E White St_2b1b
"506 E White St, Champaign, IL 61820",506 E White St_3b1b
"805 S Locust St, Champaign, IL 61820",805 S Locust St_4b1b
"805 S Locust St, Champaign, IL 61820",805 S Locust St_4b1b
"750 Sedgegrass Dr, Champaign, IL 61822",750 Sedgegrass Dr_3b2.5b
"2401 Clayton Blvd, Champaign, IL 61822",2401 Clayton Blvd_1b1b
"1516 Stonebluff Ct, Champaign, IL 61822",1516 Stonebluff Ct_3b2.5b
"2401 Clayton Blvd, Champaign, IL 61822",2401 Clayton Blvd_0b1b
"756 Sedgegrass Dr, Champaign, IL 61822",756 Sedgegrass Dr_3b2.5b
"1518 Greyrock Ln, Champaign, IL 61822",1518 Greyrock Ln_3b2.5b
"1404 Cobblestone Way, Champaign, IL 61822",1404 Cobblestone Way_3b2.5b
"752 Sedgegrass Dr, Champaign, IL 61822",752 Sedgegrass Dr_3b2.5b
"1515 W Kirby Ave, Champaign, IL 61821",1515 W Kirby Ave_2b1.5b
"1204 W Bradley Ave, Champaign, IL 61821",1204 W Bradley Ave_3b1b
"2401 Clayton Blvd, Champaign, IL 61822",2401 Clayton Blvd_2b2b
"410 E Park St, Champaign, IL 61820",410 E Park St_5b5b
"1001 N Walnut St, Champaign, IL 61820",1001 N Walnut St_4b3b
"210 E Park St, Champaign, IL 61820",210 E Park St_4b3b
"1515 W Kirby Ave, Champaign, IL 61821",1515 W Kirby Ave_2b1.5b
"735 S Mattis Ave, Champaign, IL 61821",735 S Mattis Ave_3b1.5b
"622 W Clark St, Champaign, IL 61820",622 W Clark St_2b1b
"1801 W John St, Champaign, IL 61821",1801 W John St_3b1.5b
"116 N Walnut St, Champaign, IL 61820",116 N Walnut St_2b1b
"2006 Parkdale Dr, Champaign, IL 61821",2006 Parkdale Dr_3b1b
"1831 Parkdale Dr, Champaign, IL 61821",1831 Parkdale Dr_3b1.5b
"1402 Myrtle Beach Ave, Champaign, IL 61822",1402 Myrtle Beach Ave_3b2.5b
"1106 Hickory St, Champaign, IL 61820",1106 Hickory St_4b2.5b
"2405 Lawndale Dr, Champaign, IL 61821",2405 Lawndale Dr_3b1b
"1513 W Kirby Ave, Champaign, IL 61821",1513 W Kirby Ave_3b1.5b
"1406 Bluegrass Ln, Champaign, IL 61822",1406 Bluegrass Ln_4b2.5b
"503 E Springfield Ave, Champaign, IL 61820",503 E Springfield Ave_1b1b
"507 W Kirby Ave, Champaign, IL 61820",507 W Kirby Ave_5b1.5b
"503 E Springfield Ave, Champaign, IL 61820",503 E Springfield Ave_2b2b
"1615 Bassett Ln, Champaign, IL 61821",1615 Bassett Ln_4b3.5b
"1308 Grandview Dr, Champaign, IL 61820",1308 Grandview Dr_1b1b
"207 E Healey St, Champaign, IL 61820",207 E Healey St_1b1b
"107 E John St, Champaign, IL 61820",107 E John St_1b1b
"105 E John St, Champaign, IL 61820",105 E John St_1b1b
"110 E John St, Champaign, IL 61820",110 E John St_1b1b
"57 E Healey St, Champaign, IL 61820",57 E Healey St_0b1b
"1308 Grandview Dr, Champaign, IL 61820",1308 Grandview Dr_1b1b
"1407 Rosewood Dr, Champaign, IL 61821",1407 Rosewood Dr_3b1b
"502 E Springfield Ave, Champaign, IL 61820",502 E Springfield Ave_3b2.5b
"305 Birch St, Champaign, IL 61820",305 Birch St_1b1b
"301 S 4th St, Champaign, IL 61820",301 S 4th St_2b2b
"307 Birch St, Champaign, IL 61820",307 Birch St_1b1b
"1208 S Elm Blvd, Champaign, IL 61820",1208 S Elm Blvd_2b1b
"310 Avondale Ave, Champaign, IL 61820",310 Avondale Ave_2b1b
